Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Age	Sex	Ancestry	StudyID
Monick MM	NA	22232023	2012-01-09	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table 2	DNA methylation	Smoking	Batch	Beta values	NA	Illumina HumanMethylation450	Lymphoblasts	NA	119	1	Adults	Females	European	22232023_smoking_current_vs_never_smoking
Philibert RA	NA	23070629	2012-10-15	Smoking	EFO_0004318, EFO_0006527, EFO_0005671, EFO_0006526	Females only	Table 3	DNA methylation	Smoking	Batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	218	1	Adults	Females	Unclear	23070629_smoking_females_only
Philibert RA	NA	23070629	2012-10-15	Smoking	EFO_0004318, EFO_0006527, EFO_0005671, EFO_0006526	Males only	Table 2	DNA methylation	Smoking	Batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	181	1	Adults	Males	Unclear	23070629_smoking_males_only
Shenker NS	NA	23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Breast cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	184	1	Adults	Females	European	23175441_smoking_breast_cancer_cohort
Shenker NS	NA	23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Colon cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	190	1	Adults	Both	European	23175441_smoking_colon_cancer_cohort
Yang BZ	NA	23332324	2013-02-01	Child abuse	NA	NA	Appendix B	DNA methylation	Child abuse	Sex, age, ethnicity	Beta values	NA	Illumina HumanMethylation450	Saliva	NA	192	1	Children	Both	European, African, Admixed, Other	23332324_child_abuse
Liu Y	NA	23334450	2013-01-20	Rheumatoid arthritis	EFO_0000685	NA	Table S3	DNA methylation	Rheumatoid arthritis	Age, sex, smoking, cell composition	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	691	1	Adults	Both	European	23334450_rheumatoid_arthritis
Wozniak MB	NA	23526956	2013-03-05	Clear cell renal carcinoma	EFO_0000349, EFO_0000681	NA	Table S6	DNA methylation	Clear cell renal carcinoma	NA	M values	NA	Illumina HumanMethylation450	Clear cell renal carcinoma tumour cells, adjacent healthy cells	NA	129	1	Adults	Both	European	23526956_clear_cell_renal_carcinoma
Zeilinger S	NA	23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption, cell composition	M values	NA	Illumina HumanMethylation450	Whole blood	NA	1011	1	Adults	Both	European	23691101_smoking_current_vs_never_smoking_discovery
Zeilinger S	NA	23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking replication	Table S2	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption, cell composition	M values	NA	Illumina HumanMethylation450	Whole blood	NA	468	1	Adults	Both	European	23691101_smoking_current_vs_never_smoking_replication
