CpG,Location,Chr,Pos,Gene,Type,Beta,SE,P,Details,StudyID,Author,Consortium,PMID,Date,Trait,EFO,Analysis,Source,Outcome,Exposure,Covariates,Outcome_Units,Exposure_Units,Methylation_Array,Tissue,Further_Details,N,N_Cohorts,Age,Sex,Ancestry
cg16680214,chr1:154839983,1,154839983,KCNN3,Open sea,NA,NA,8.82e-08,-,26500701_sex_kora_f4,Singmann P,NA,26500701,2015-10-19,Sex,EFO_0001271,KORA F4,Additional file 2,DNA methylation,Sex,"Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,1799,1,Adults,Both,European
cg16680214,chr1:154839983,1,154839983,KCNN3,Open sea,NA,NA,3.41e-05,-,26500701_sex_metaanalysis,Singmann P,NA,26500701,2015-10-19,Sex,EFO_0001271,Meta-analysis,Additional file 2,DNA methylation,Sex,"Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,1999,3,Adults,Both,European
cg26175789,chr2:75821892,2,75821892,-,Open sea,NA,NA,3.96e-33,-,28056824_age_4_vs_age_0,Xu CJ,NA,28056824,2017-01-05,Age 4 vs age 0,EFO_0000246,NA,Additional file 3,DNA methylation,Age 4 vs age 0,"Sex, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,"Whole blood, cord blood",NA,269,2,NA,Both,European
cg02834909,chr3:46759438,3,46759438,PRSS50,Island,NA,NA,6.29e-09,-,26500701_sex_kora_f4,Singmann P,NA,26500701,2015-10-19,Sex,EFO_0001271,KORA F4,Additional file 2,DNA methylation,Sex,"Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,1799,1,Adults,Both,European
cg13303179,chr3:46759335,3,46759335,PRSS50,Island,NA,NA,6.52e-05,-,26500701_sex_kora_f4,Singmann P,NA,26500701,2015-10-19,Sex,EFO_0001271,KORA F4,Additional file 2,DNA methylation,Sex,"Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,1799,1,Adults,Both,European
cg18026197,chr3:126422536,3,126422536,CHCHD6,North shore,NA,NA,3.98e-08,-,26500701_sex_kora_f4,Singmann P,NA,26500701,2015-10-19,Sex,EFO_0001271,KORA F4,Additional file 2,DNA methylation,Sex,"Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,1799,1,Adults,Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,0.11868,0.0207,9.78e-09,-,25650246_gestational_age,Spiers H,NA,25650246,2015-02-03,Gestational age,"EFO_0005112, EFO_0000246",NA,Additional file 1,DNA methylation,Gestational age,"Sex, batch",Beta values,days,Illumina HumanMethylation450,Fetal brain,NA,179,1,NA,Both,Unclear
cg01159980,chr5:16509017,5,16509017,FAM134B,Open sea,-9.6e-05,2.4e-05,7.06e-05,-,27843151_alcohol_consumption_per_day_european_ancestry,Liu C,CHARGE+,27843151,2016-12-15,Alcohol consumption per day,"EFO_0007878, EFO_0004329",European ancestry,Table S5,DNA methylation,Alcohol consumption per day,"Age, sex, body mass index, cell composition, batch",Beta values,g der day,Illumina HumanMethylation450,Whole blood,NA,9643,10,Adults,Both,European
cg12580445,chr5:121414634,5,121414634,LOX,South shore,NA,NA,1.63e-27,-,28056824_age_4_vs_age_0,Xu CJ,NA,28056824,2017-01-05,Age 4 vs age 0,EFO_0000246,NA,Additional file 3,DNA methylation,Age 4 vs age 0,"Sex, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,"Whole blood, cord blood",NA,269,2,NA,Both,European
cg12580445,chr5:121414634,5,121414634,LOX,South shore,NA,NA,1.24e-58,-,23526956_clear_cell_renal_carcinoma,Wozniak MB,NA,23526956,2013-03-05,Clear cell renal carcinoma,"EFO_0000349, EFO_0000681",NA,Table S6,DNA methylation,Clear cell renal carcinoma,NA,M values,NA,Illumina HumanMethylation450,"Clear cell renal carcinoma tumour cells, adjacent healthy cells",NA,129,1,Adults,Both,European
cg15525848,chr5:16509123,5,16509123,FAM134B,Open sea,-0.000545,0.000138,8.2e-05,-,27717397_gestational_age_last_menstrual_periodestimated_gestational_age,Bohlin J,NA,27717397,2016-10-07,Gestational age,EFO_0005112,Last menstrual period-estimated gestational age,Table S2,DNA methylation,Gestational age,"Offspring sex, maternal age, maternal smoking, study design, caesarean section, cell composition",Beta values,days,Illumina HumanMethylation450,Cord blood,NA,1068,1,Infants,Both,European
cg13796823,chr6:130686592,6,130686592,-,Island,NA,NA,2.3e-32,-,24500968_pancreatic_ductal_adenocarcinoma,Nones K,NA,24500968,2014-05-09,Pancreatic ductal adenocarcinoma,EFO_0002517,NA,Table S4,DNA methylation,Pancreatic ductal adenocarcinoma,NA,Beta values,NA,Illumina HumanMethylation450,"Pancreatic ductal adenocarcinoma, adjacent nontransformed pancreata",NA,196,1,NA,NA,Unclear
cg26509731,chr6:80578590,6,80578590,-,Open sea,2.06528,0.10443,6.06e-34,-,25282492_fetal_vs_adult_liver,Bonder MJ,NA,25282492,2014-10-04,Fetal vs adult liver,"UBERON_0002107, GO_0048513",NA,Additional file 2,DNA methylation,Fetal vs adult liver,"Sex, batch",M values,NA,Illumina HumanMethylation450,Liver,NA,195,2,NA,NA,Unclear
cg26509731,chr6:80578590,6,80578590,-,Open sea,-0.03428,0.0058,3.05e-09,-,23334450_rheumatoid_arthritis,Liu Y,NA,23334450,2013-01-20,Rheumatoid arthritis,EFO_0000685,NA,Table S3,DNA methylation,Rheumatoid arthritis,"Age, sex, smoking, cell composition",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,691,1,Adults,Both,European
cg26509731,chr6:80578590,6,80578590,-,Open sea,NA,NA,4.2e-20,-,24500968_pancreatic_ductal_adenocarcinoma,Nones K,NA,24500968,2014-05-09,Pancreatic ductal adenocarcinoma,EFO_0002517,NA,Table S4,DNA methylation,Pancreatic ductal adenocarcinoma,NA,Beta values,NA,Illumina HumanMethylation450,"Pancreatic ductal adenocarcinoma, adjacent nontransformed pancreata",NA,196,1,NA,NA,Unclear
cg09205595,chr7:150782539,7,150782539,AGAP3,North shore,NA,NA,1.53e-13,-,28056824_age_4_vs_age_0,Xu CJ,NA,28056824,2017-01-05,Age 4 vs age 0,EFO_0000246,NA,Additional file 3,DNA methylation,Age 4 vs age 0,"Sex, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,"Whole blood, cord blood",NA,269,2,NA,Both,European
cg09205595,chr7:150782539,7,150782539,AGAP3,North shore,1.56257,0.08915,2.74e-30,-,25282492_fetal_vs_adult_liver,Bonder MJ,NA,25282492,2014-10-04,Fetal vs adult liver,"UBERON_0002107, GO_0048513",NA,Additional file 2,DNA methylation,Fetal vs adult liver,"Sex, batch",M values,NA,Illumina HumanMethylation450,Liver,NA,195,2,NA,NA,Unclear
cg09506675,chr7:112727914,7,112727914,GPR85,Open sea,0.016,0.003,2.1e-06,-,27040690_maternal_smoking_in_pregnancy_sustained_maternal_smoking_in_pregnancy_effect_on_newborns,Joubert BR,PACE,27040690,2016-04-07,Maternal smoking in pregnancy,"EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950",Sustained maternal smoking in pregnancy effect on newborns,Table S3,DNA methylation,Maternal smoking in pregnancy,"Maternal age, maternal education, parity, batch",Beta values,NA,Illumina HumanMethylation450,Cord blood,NA,5647,9,Infants,NA,"European, African, Admixed, Other"
