cpg,genes
cg07252486,AP003039.3
cg12790145,RP11-283I3.2
cg02780130,RP11-283I3.2
cg25329573,RP11-283I3.2
cg09911534,RP11-622C24.2
cg16469117,AC007092.1
cg17240725,AC073846.5
cg04070200,AC007879.5
cg06941159,RP11-22P6.2
cg13689053,AP000688.14
cg12658972,RP11-95P2.3
cg01267120,AL157871.2
cg01267120,RP11-638I2.6
cg02834909,RP11-316F12.1
cg05406088,RP11-321F6.1
cg02282594,RP11-298I3.1
cg05860956,RP11-283I3.2
cg01334824,RP11-100M12.3
cg24468780,RP11-112J1.2
cg15587955,RP11-1080G15.1
cg24947255,XXbac-BPG181B23.6
cg14545602,AC005498.3
cg23102195,CTD-2269E23.4
cg11340603,RP1-78O14.1
cg23184739,AC110781.3
cg13303179,RP11-316F12.1
cg10075163,RP11-283I3.2
cg20188212,RP11-283I3.2
cg15501526,RP11-526P5.2
cg05715076,RP11-543C4.1
cg09535960,RP11-177H13.2
cg10957166,AC084018.1
cg10957166,RP11-347I19.7
cg10957166,RP11-347I19.8
