cpg,genes,cpg_island,trait,correlation,p,rank,pmid,total_associations
cg07252486,AP003039.3;NTM,Other,,,,,,
cg22084806,,Shelf,Alzheimer's disease (AD),pos,3.2e-06,220,30712078,848
cg02255242,FMN1,Other,infertility,pos,n,,25753583,2751
cg18595228,,Other,ancestry,neg,2.3e-10,2592,30563547,8847
cg18595228,,Other,chronic beryllium disease,neg,3.2e-05,1226,30141971,3437
cg06928226,NTM,Other,prenatal perfluorohexane sulfonate (PFHxS) exposure,pos,7.3e-05,282,35266797,1895
cg16253887,TBC1D22B,Other,,,,,,
cg17176698,BCR,Other,,,,,,
cg10578777,,Island,hydroxytyrosol treatment in Caco-2 cells,neg,3.3e-06,12,36528246,20
cg10578777,,Island,Alzheimer's disease (AD),neg,3.6e-05,1496,37388929,31488
cg10578777,,Island,Alzheimer’s Disease,pos,8.6e-06,18452,37388929,31488
cg10578777,,Island,ER negative breast tumors,neg,n,12,37293596,96
cg09420691,PRDM15,Island,body mass index (BMI),pos,1.3e-05,68,33239103,547
cg12790145,RP11-283I3.2;SLC6A12,Island,early onset intracranial atherosclerotic stenosis,pos,n,213,31142690,318
cg09506675,GPR85,Other,maternal smoking,pos,2.1e-06,1118,27040690,3094
cg09506675,GPR85,Other,perinatally-acquired HIV,pos,8.8e-04,637,31324826,1309
cg09506675,GPR85,Other,maternal smoking,pos,1.6e-06,1119,31536415,15547
cg09506675,GPR85,Other,Alzheimer’s Disease,pos,6.9e-10,15896,37388929,31488
cg09506675,GPR85,Other,mild cognitive impairment,pos,6.8e-08,5491,37388929,31488
cg26509731,,Other,,,,,,
cg02780130,RP11-283I3.2;SLC6A12,Island,Alzheimer’s Disease,pos,5.9e-07,18458,37388929,31488
cg25329573,RP11-283I3.2;SLC6A12,Island,,,,,,
cg15702905,,Other,,,,,,
cg16063718,,Other,,,,,,
cg09911534,RP11-622C24.2,Other,,,,,,
cg01159980,FAM134B,Other,,,,,,
cg16469117,AC007092.1,Other,,,,,,
cg17240725,AC073846.5,Shelf,papillary thyroid carcinoma,neg,1.6e-13,2945,28938489,10343
cg17240725,AC073846.5,Shelf,leukoaraiosis (LA),neg,n,146,29875652,606
cg17240725,AC073846.5,Shelf,papillary thyroid carcinoma,neg,1.4e-14,2297,28469731,6070
cg17240725,AC073846.5,Shelf,ancestry,neg,1.8e-05,7731,30563547,8847
cg17240725,AC073846.5,Shelf,colorectal laterally spreading tumor,neg,1.1e-08,8174,30183087,24775
cg17240725,AC073846.5,Shelf,ancestry,NA,n,,31399127,1845
cg17240725,AC073846.5,Shelf,papillary thyroid carcinoma,neg,n,,31328658,2149
cg17240725,AC073846.5,Shelf,Alzheimer’s Disease,neg,7.1e-05,1599,37388929,31488
cg04070200,AC007879.5,Other,,,,,,
cg16185115,GSE1,Other,,,,,,
cg23359644,THSD7A,Other,,,,,,
cg12365675,CAD,Other,,,,,,
cg19063834,FAM134B,Other,mammographic density measure,neg,6.9e-05,19,30694562,110
cg19063834,FAM134B,Other,inflammatory bowel disease,pos,1.1e-13,1071,32281463,4205
cg03039387,,Shelf,Behcet's disease,neg,5.7e-06,3131,30863869,4332
cg14320625,PRKCG,Shore,ancestry,pos,2.2e-05,7864,30563547,8847
cg14320625,PRKCG,Shore,large for gestational age (LGA),pos,7.0e-05,244,36585686,294
cg17429772,PTPRN2,Other,hepatocellular carcinoma (HCC),neg,3.9e-20,735,23208076,4617
cg17429772,PTPRN2,Other,Alzheimer’s Disease,neg,9.5e-07,5819,37388929,31488
cg16874583,,Island,down syndrome,neg,1.8e-06,1512,29601581,14649
cg16874583,,Island,Alzheimer's disease (AD),neg,1.2e-05,1285,37388929,31488
cg16874583,,Island,Alzheimer’s Disease,pos,8.8e-06,15990,37388929,31488
cg06981941,,Other,,,,,,
cg08287302,,Other,,,,,,
cg14906510,,Island,down syndrome,neg,8.3e-04,13760,29601581,14649
cg14906510,,Island,ancestry,pos,3.7e-05,8202,30563547,8847
cg14906510,,Island,bariatric surgery,pos,n,23,37834223,52
cg14906510,,Island,bariatric surgery,pos,n,23,37834223,52
cg14906510,,Island,Alzheimer's disease (AD),neg,3.8e-11,210,37388929,31488
cg14906510,,Island,Alzheimer’s Disease,pos,6.3e-12,19474,37388929,31488
cg22481960,IQSEC1,Island,,,,,,
cg19432846,,Other,escitalopram treatment,pos,1.2e-07,5,37701547,351
cg07103846,B3GNTL1,Island,,,,,,
cg03526776,TREML2,Other,Alzheimer's disease (AD),neg,7.1e-19,10,32789163,20
cg01528832,JMJD1C;JMJD1C-AS1,Island,type 2 diabetes (T2D),pos,7.8e-07,9,29228058,24
cg01528832,JMJD1C;JMJD1C-AS1,Island,type 2 diabetes (T2D),pos,n,,26977391,7926
cg07553182,,Other,,,,,,
cg06941159,RP11-22P6.2;SH2B1,Island,,,,,,
cg05554000,VIPR2,Shore,pre- and post-lenalidomide treatment in patients with myelodysplastic syndrome with isolated deletion (5q),NA,n,,33903952,1758
cg05554000,VIPR2,Shore,Alzheimer’s Disease,pos,1.1e-13,19291,37388929,31488
cg05554000,VIPR2,Shore,mild cognitive impairment,pos,1.3e-15,474,37388929,31488
cg13689053,AP000688.14,Other,,,,,,
cg12658972,RP11-95P2.3,Island,,,,,,
cg12751644,,Shelf,,,,,,
cg25828445,,Shore,bariatric surgery,pos,n,18,37834223,52
cg25828445,,Shore,bariatric surgery,pos,n,18,37834223,52
cg25828445,,Shore,Alzheimer’s Disease,pos,2.1e-05,18996,37388929,31488
cg25828445,,Shore,ER negative breast tumors,neg,n,7,37293596,96
cg19336497,RRAS2,Shore,ankylosing spondylitis,neg,4.3e-05,24,31128893,226
cg01267120,AL157871.2;RP11-638I2.6,Shore,Alzheimer’s Disease,neg,1.7e-11,972,37388929,31488
cg01267120,AL157871.2;RP11-638I2.6,Shore,mild cognitive impairment,neg,8.7e-09,4274,37388929,31488
